selling_price,km_driven,age,make,model,Petrol,Manual
6.6,10000,5,MARUTI,SWIFT AMT,1,0
1.8,120000,13,TATA,INDICA VISTA,0,1
20.9,68000,7,BMW,3 SERIES,0,0
2.5,55000,8,CHEVROLET,BEAT DIESEL,0,1
12.75,8000,3,KIA,SELTOS HTK,1,1
4.55,80000,11,TOYOTA,COROLLA ALTIS,1,1
4.95,65000,8,MARUTI,SWIFT VDI,0,1
2.2,47000,13,MARUTI,RITZ VXI,1,1
8,185000,5,MARUTI,S-CROSS 2017-2020,0,1
12.95,68000,9,HYUNDAI,SANTA FE,0,0
4.75,25000,7,HYUNDAI,GRAND I10,1,1
3.8,280000,9,TATA,SUMO GOLD,0,1
9,7791,5,MARUTI,S-CROSS 2017-2020,0,1
5.3,70000,8,MARUTI,CIAZ VXI,1,1
5.3,9500,7,TATA,TIAGO 1.2,1,1
6.5,9100,8,HYUNDAI,VERNA 1.6,1,1
4.95,82000,13,HONDA,NEW ACCORD,1,1
3.35,86000,13,HONDA,CITY 1.5,1,1
20.9025,19000,3,AUDI,Q5 40,0,0
12.9,78000,10,AUDI,A4 2.0,0,0
3,60000,12,FORD,FIGO DIESEL,0,1
5.5,7883,4,MARUTI,WAGON R,1,0
3.9,50205,10,MARUTI,SWIFT DZIRE,0,1
2.6,220000,15,MAHINDRA,BOLERO DI,0,1
3.95,58000,6,TATA,TIGOR 1.05,0,1
5.5,170000,11,MAHINDRA,SCORPIO SLE,0,1
6.5,15000,5,MARUTI,SWIFT DZIRE,1,1
3.75,71245,7,MARUTI,SWIFT DDIS,0,1
3,20000,11,TATA,MANZA ELAN,0,1
4.5,52000,7,TOYOTA,ETIOS VX,1,1
3.35,61000,8,HONDA,BRIO S,1,1
13,7000,4,KIA,SELTOS GTK,1,1
3.6,20000,5,MARUTI,ALTO K10,1,1
5.05,8700,3,MARUTI,CELERIO ZXI,1,1
3.1,25000,4,MARUTI,ALTO 800,1,1
5.45,42000,8,HYUNDAI,I20 ASTA,1,1
3,120000,14,MAHINDRA,XYLO E4,0,1
2,60000,14,CHEVROLET,AVEO 1.4,1,1
1.5,120000,17,MAHINDRA,BOLERO DI,0,1
5.8,50000,5,MARUTI,BALENO DELTA,1,1
2.5,58000,12,MARUTI,WAGON R,1,1
6.5,36000,6,HYUNDAI,VERNA 1.4,1,1
8,80000,7,MARUTI,SX4 S,0,1
14.75,71000,10,AUDI,Q3 2.0,0,0
4.1,30000,5,MARUTI,ERTIGA VDI,0,1
5.31,162828,8,FORD,ECOSPORT TDCI,0,1
8.9,7500,5,FORD,ECOSPORT 2015-2021,0,1
7.75,47227,7,TATA,SAFARI STORME,0,1
4.35,52000,5,MARUTI,WAGON R,0,1
1.85,74000,11,FORD,FIGO DIESEL,0,1
4.4,47000,12,MAHINDRA,BOLERO 2011-2019,0,1
4.5,50000,8,HYUNDAI,I20 SPORTZ,1,1
6,100000,6,MARUTI,BALENO ZETA,1,1
3.2,35000,9,MARUTI,CELERIO VXI,1,1
7,50000,7,HYUNDAI,I20 ACTIVE,0,1
6.3,10000,5,FORD,ASPIRE 1.2,1,1
3.2,10370,7,MARUTI,ALTO 800,1,1
4.65,62000,10,HONDA,CITY V,1,1
2.75,70000,12,TATA,MANZA AURA,0,1
3.7,250000,10,NISSAN,SUNNY DIESEL,0,1
5.5,40000,7,HYUNDAI,I20 SPORTZ,1,1
4.45,60000,6,MARUTI,SWIFT VVT,1,1
7.05,67231,10,TATA,SAFARI STORME,0,1
2.7,64000,10,MARUTI,WAGON R,0,1
4.2,142587,11,NISSAN,MICRA DIESEL,0,1
4.75,63000,9,HONDA,CITY I,0,1
17.55,80000,8,TOYOTA,FORTUNER 4X4,0,1
3.5,55000,12,HONDA,CITY 2017-2020,1,1
5.75,11000,7,HYUNDAI,I20 2015-2017,1,1
4.66,66000,7,TOYOTA,ETIOS LIVA,0,1
3.6,17000,6,RENAULT,KWID 1.0,1,1
2.75,25000,6,MARUTI,ALTO 800,1,1
3.2,33350,7,DATSUN,GO PLUS,1,1
0.95,45000,23,MARUTI,OMNI 5,1,1
3.7,62000,8,HYUNDAI,GRAND I10,1,1
2.5,30000,10,HONDA,BRIO E,1,1
